sessionId,userId,gameModeName,gameTime,userType,entryTime,exitTime,duration,roomName,roomType,roomSequence,combatRoomNumber,dungeonRoomNumber,eventType,weaponName,total_damage,damage,ability_pyrosphere,ability_minigun,ability_machinegun,ability_bomb_blackhole,ability_bomb,ability_drone,ability_chakram,ability_smg_gleamtwins,ability_kusarigama,ability_chain_lightning,ability_ice_cube,ability_renew,ability_healing_mark,enemyKills,PartyMembers
01JJFDDENJHCYANR5CRCE9CZ0H,01HWNPFC4SDS76TF61T6SC1V0K,,,,2025-01-25 19:01:08.499000 UTC,2025-01-25 19:15:49.500000 UTC,881,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_tritium,61878.0,46229.0,,,,,1189.0,,,14460.0,,,,,,17,7
01JJFDK0XHEBE81ACS1NW02R0H,01HVBXQT2PW19DW9BYNNRC6RSN,,,,2025-01-25 19:04:11.500000 UTC,2025-01-25 19:33:27.499000 UTC,1755,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_aa0002,1382.0,398.0,,142.0,,,842.0,,,,,,,,,0,6
01JJFDK0XHEBE81ACS1NW02R0H,01HWXE731KZQ8FH60JPJ0GCTHM,,,,2025-01-25 19:04:11.500000 UTC,2025-01-25 19:33:27.499000 UTC,1755,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,410171.0,303821.0,,,,,,106350.0,,,,,,,,21,6
01JJFDR26DWVK0V1PMD9WR36W4,01JHDFBQJ575KVF36AJH86R4QW,,,,2025-01-25 19:06:57.500000 UTC,2025-01-25 19:13:38.500000 UTC,401,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_sword_chronosteel,31662.0,8533.0,13139.0,,9239.0,751.0,,,,,,,,,,13,2
01JJFEXJHMXYPHR3NG32FHR9BY,01JHF0279BQ392DY10F5729ZAK,,,,2025-01-25 19:27:24.499000 UTC,2025-01-25 19:41:10.500000 UTC,826,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_hammer_chronosteel,273799.0,154881.0,,,31209.0,,,,,87709.0,,,,,,18,1
01JJFFDR08WZH37MRGV4JCV783,01HV7EMM1T9N4PMG1AA43HZNRJ,,,,2025-01-25 19:36:15.500000 UTC,2025-01-25 19:47:16.500000 UTC,661,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,390514.0,252849.0,126722.0,,,,,,,,,,10943.0,,,10,1
01JJFFSWG96BD9MC0776XBY7V8,01JGP9EBHRESHMMGHRWX6VK5Z1,,,,2025-01-25 19:42:52.499000 UTC,2025-01-25 20:07:53.500000 UTC,1501,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_chronosteel,172762.0,120095.0,,,,,,,,,34743.0,,17924.0,,,22,5
01JJFFY7PJSG7KA7XF8JM3275J,01HVXEJ1KKHCAJC0542Q7VAN70,,,,2025-01-25 19:45:16.500000 UTC,2025-01-25 19:46:48.500000 UTC,92,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,No Damage,0.0,0.0,,,,,,,,,,,,,,0,1
01JJFFZ5HRSYZAM3NP6WF6J7NN,01HWNPFC4SDS76TF61T6SC1V0K,,,,2025-01-25 19:45:46.499000 UTC,2025-01-25 19:58:05.499000 UTC,739,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_tritium,74536.0,44461.0,29975.0,,,100.0,,,,,,,,,,3,5
01JJFGJZ1E06H2NDZGZ83YBG49,01HV7TBAM2398RTAPXN6KX9B2B,,,,2025-01-25 19:56:35.499000 UTC,2025-01-25 20:10:13.500000 UTC,818,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0003,253456.0,110820.0,55035.0,,,,,21104.0,,66497.0,,,,,,10,2
01JJFDDENJHCYANR5CRCE9CZ0H,01HWX67H14MBTQAJYKQE8GZ720,,,,2025-01-25 19:01:08.499000 UTC,2025-01-25 19:15:49.500000 UTC,881,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,25345.0,17963.0,,7382.0,,,,,,,,,,,,4,7
01JJFDDMPYJNHQ8JG7WJGJ00GR,01HXE31W3NH2389NKX2Y56X9MS,,,,2025-01-25 19:01:14.500000 UTC,2025-01-25 19:03:49.500000 UTC,155,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_ab0011,236.0,236.0,,,,,,,,,,,,,,1,1
01JJFDK0XHEBE81ACS1NW02R0H,01HVNP3P98BP7WKHQWKEDYW9VK,,,,2025-01-25 19:04:11.500000 UTC,2025-01-25 19:33:27.499000 UTC,1755,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0001,5205.0,3194.0,,,,,448.0,,,,1563.0,,,,,3,6
01JJFDK0XHEBE81ACS1NW02R0H,01HVXEJ1KKHCAJC0542Q7VAN70,,,,2025-01-25 19:04:11.500000 UTC,2025-01-25 19:33:27.499000 UTC,1755,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0002,20790.0,4006.0,16784.0,,,,,,,,,,,,,2,6
01JJFE9H9RTT2C3FYYN6VANJVH,01HV7F2Z03B3X3SG7MZC30PSJ2,,,,2025-01-25 19:16:28.499000 UTC,2025-01-25 19:32:29.500000 UTC,961,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,88227.0,61698.0,,3004.0,,,,,23525.0,,,,,,,12,7
01JJFE9H9RTT2C3FYYN6VANJVH,01JC9CQV0Q5N0X512Y5Q4F51FR,,,,2025-01-25 19:16:28.499000 UTC,2025-01-25 19:32:29.500000 UTC,961,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_tritium,65161.0,52384.0,,,12777.0,,,,,,,,,,,9,7
01JJFF7CAGKJBWYYYQWEMYXPP1,01HV7F2Z03B3X3SG7MZC30PSJ2,,,,2025-01-25 19:32:47.499000 UTC,2025-01-25 19:45:31.500000 UTC,764,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,67260.0,61611.0,,,,,,,,,5649.0,,,,,10,5
01JJFFSWG96BD9MC0776XBY7V8,01HV9EKJT3KE7KDC873JN72JRY,,,,2025-01-25 19:42:52.499000 UTC,2025-01-25 20:07:53.500000 UTC,1501,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ab0012,47548.0,3405.0,,,,,,4944.0,31574.0,,7625.0,,,,,1,5
01JJFGR2F3F4A5TK25G46PA19T,01HWX67H14MBTQAJYKQE8GZ720,,,,2025-01-25 19:59:23.500000 UTC,2025-01-25 20:11:15.500000 UTC,712,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,385932.0,333946.0,,,,,,,24794.0,24223.0,2969.0,,,,,18,1
01JJFDC5A7PFGJ21E6AXVYBX31,01HV7EKXWQ792C35H78Q8TBWXZ,,,,2025-01-25 19:00:27.499000 UTC,2025-01-25 19:26:26.500000 UTC,1559,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,227334.0,55011.0,,,,,,,60463.0,111860.0,,,,,,10,3
01JJFDCCCF45PFRQJ37C7SGEJ8,01HZCRJHWPYRGQ501VWGWVY7KX,,,,2025-01-25 19:00:33.499000 UTC,2025-01-25 19:05:57.500000 UTC,324,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_sword_ferrox,62939.0,22699.0,,9328.0,,,,,30912.0,,,,,,,2,1
01JJFDCKTF4W3ZKK9EK7EJVJFP,01JFA9NV9FXVT7HGJ26XJMYBJS,,,,2025-01-25 19:00:40.500000 UTC,2025-01-25 19:23:14.500000 UTC,1354,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_tritium,238732.0,94329.0,,,,4669.0,,,139734.0,,,,,,,17,3
01JJFDDG2VADJZPCRDAEDQW5ES,01HV7EMM1T9N4PMG1AA43HZNRJ,,,,2025-01-25 19:01:10.500000 UTC,2025-01-25 19:15:21.500000 UTC,851,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,375172.0,177904.0,107350.0,,,,,,,89918.0,,,,,,20,1
01JJFDK86DFCFM4T8RSEJXY69K,01HV7ENYBRENNXEGTMVFGHN2DZ,,,,2025-01-25 19:04:18.500000 UTC,2025-01-25 19:16:23.500000 UTC,725,DCCombatEmpty_Lush,combat_combat,0.0,1,1,abandoned,arms_gs_eclipse,57930.0,1591.0,,,14392.0,,,,,41947.0,,,,,,1,3
01JJFDVGSWP5PKE8MXWWXMKAGR,01HWX1STGFTH8AZDPGY9F2R3AC,,,,2025-01-25 19:08:50.499000 UTC,2025-01-25 19:17:37.500000 UTC,527,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_demon,360111.0,216228.0,,,,,30103.0,,,113780.0,,,,,,7,1
01JJFEE57J95G5XY4X83TH2YGX,01HV7ENYBRENNXEGTMVFGHN2DZ,,,,2025-01-25 19:19:00.500000 UTC,2025-01-25 19:35:41.499000 UTC,1000,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_gs_eclipse,45363.0,19625.0,20843.0,,,,,4895.0,,,,,,,,6,5
01JJFFA2X3HMVV8X45EXBBYNNP,01HV7EQE0CYA1ZWRENMNYKACCA,,,,2025-01-25 19:34:15.499000 UTC,2025-01-25 20:02:36.500000 UTC,1701,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_thornweave,395899.0,308766.0,,,,,,87133.0,,,,,,,,59,1
01JJFFNSXJT7H5SCTHCRCXCGY6,01HV7TBAM2398RTAPXN6KX9B2B,,,,2025-01-25 19:40:39.500000 UTC,2025-01-25 19:49:33.500000 UTC,534,DCCombatEmpty_Lush,combat_combat,0.0,1,1,abandoned,arms_ac0003,36713.0,33259.0,,,,,3454.0,,,,,,,,,5,4
01JJFG4H7CZAK2B55STFT1JWB7,01HV7X0JR2X8PJ5Q9CE2YS0ADV,,,,2025-01-25 19:48:42.500000 UTC,2025-01-25 19:58:46.499000 UTC,603,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_demon,382833.0,88470.0,83762.0,,13743.0,,,,,196858.0,,,,,,2,1
01JJFDCKTF4W3ZKK9EK7EJVJFP,01JFB3SVWM9YEAESRE416P9SKF,,,,2025-01-25 19:00:40.500000 UTC,2025-01-25 19:23:14.500000 UTC,1354,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_tritium,198806.0,61177.0,84146.0,,,,,,,53483.0,,,,,,17,3
01JJFDR26DWVK0V1PMD9WR36W4,01HVBGSFAV6X0RKWGJQXRC7RD8,,,,2025-01-25 19:06:57.500000 UTC,2025-01-25 19:13:38.500000 UTC,401,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_hammer_chronosteel,25457.0,21886.0,,,,,,,,,,,3571.0,,,1,2
01JJFDSQFXSB16SX6E199J1V4Z,01JJEZYVY6WBETJ5PKWX2BG81X,,,,2025-01-25 19:07:51.500000 UTC,2025-01-25 19:08:46.500000 UTC,55,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_aa0001,239.0,239.0,,,,,,,,,,,,,,0,2
01JJFE9H9RTT2C3FYYN6VANJVH,01HV7TBAM2398RTAPXN6KX9B2B,,,,2025-01-25 19:16:28.499000 UTC,2025-01-25 19:32:29.500000 UTC,961,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0003,38294.0,27632.0,,,,563.0,2428.0,7671.0,,,,,,,,3,7
01JJFE9H9RTT2C3FYYN6VANJVH,01HV8A0S2XB9E7RNBBHCFDA5AY,,,,2025-01-25 19:16:28.499000 UTC,2025-01-25 19:32:29.500000 UTC,961,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,233853.0,16533.0,29493.0,,20470.0,,,,,167357.0,,,,,,6,7
01JJFE9H9RTT2C3FYYN6VANJVH,01HWNPFC4SDS76TF61T6SC1V0K,,,,2025-01-25 19:16:28.499000 UTC,2025-01-25 19:32:29.500000 UTC,961,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_tritium,65366.0,39178.0,,12464.0,,,,13724.0,,,,,,,,4,7
